user,difference,page
zsyed,6,task
zsyed,85,task
joseph,71,home
daniel,139,home
tdaniels,108,task
tdaniels,101,task
tdaniels,173,task
tdaniels,105,task
tdaniels,11,task
tdaniels,91,task
tdaniels,105,task
tdaniels,97,task
tdaniels,86,task
tdaniels,68,task
tdaniels,60,task
tdaniels,81,task
tdaniels,104,task
tdaniels,120,task
tdaniels,169,task
tdaniels,168,task
tdaniels,165,task
tdaniels,164,task
tdaniels,161,task
tdaniels,226,task
tdaniels,220,task
tdaniels,223,task
tdaniels,221,task
tdaniels,217,task
tdaniels,215,task
tdaniels,215,task
tdaniels,98,task
tdaniels,63,task
tdaniels,13,task
tdaniels,9,home
tdaniels,9,home
tdaniels,3,home
tdaniels,3,home
tdaniels,3,home
tdaniels,3,home
tdaniels,3,home
tdaniels,82,task
tdaniels,195,task
tdaniels,20,task
tdaniels,125,task
tdaniels,118,task
tdaniels,17,home
tdaniels,87,task
tdaniels,86,task
tdaniels,135,task
tdaniels,134,task
tdaniels,125,task
tdaniels,131,task
tdaniels,86,task
tdaniels,116,task
tdaniels,110,task
tdaniels,108,task
tdaniels,103,task
tdaniels,102,task
tdaniels,10,home
tdaniels,116,task
tdaniels,3,home
tdaniels,39,task
tdaniels,3,home
tdaniels,187,task
tdaniels,178,task
tdaniels,74,task
tdaniels,115,task
tdaniels,111,task
tdaniels,109,task
tdaniels,39,home
tdaniels,106,task
tdaniels,4,home
tdaniels,114,task
tdaniels,135,task
tdaniels,125,task
tdaniels,124,task
tdaniels,124,task
tdaniels,104,task
tdaniels,9,home
tdaniels,6,home
tdaniels,79,task
tdaniels,4,home
tdaniels,4,home
tdaniels,143,task
tdaniels,132,task
tdaniels,127,task
tdaniels,116,task
tdaniels,113,task
tdaniels,88,task
tdaniels,82,task
tdaniels,92,task
tdaniels,14,home
tdaniels,7,home
tdaniels,158,task
tdaniels,53,home
tdaniels,4,home
tdaniels,4,home
tdaniels,27,task
tdaniels,8,home
tdaniels,75,task
tdaniels,111,task
tdaniels,87,task
tdaniels,16,home
tdaniels,110,task
tdaniels,117,task
tdaniels,125,task
tdaniels,19,home
tdaniels,17,home
tdaniels,3,home
tdaniels,110,task
tdaniels,75,task
tdaniels,97,task
tdaniels,9,home
tdaniels,138,task
tdaniels,3,home
tdaniels,80,task
tdaniels,91,task
tdaniels,4,home
tdaniels,41,home
tdaniels,93,task
tdaniels,92,task
tdaniels,16,task
tdaniels,59,home
tdaniels,71,task
tdaniels,3,home
tdaniels,156,task
tdaniels,76,task
tdaniels,4,home
tdaniels,117,task
tdaniels,15,home
tdaniels,15,home
tdaniels,3,home
tdaniels,115,task
tdaniels,4,home
tdaniels,180,task
tdaniels,194,task
tdaniels,42,task
tdaniels,12,home
tdaniels,12,home
tdaniels,21,home
tdaniels,102,task
tdaniels,6,home
tdaniels,69,task
tdaniels,53,task
tdaniels,83,task
tdaniels,106,task
tdaniels,3,home
tdaniels,3,home
tdaniels,4,home
tdaniels,7,home
tdaniels,3,home
tdaniels,5,home
tdaniels,4,home
tdaniels,4,home
tdaniels,70,task
tdaniels,84,task
tdaniels,13,home
tdaniels,66,task
tdaniels,83,task
tdaniels,86,task
tdaniels,4,home
tdaniels,13,task
tdaniels,116,task
tdaniels,65,task
tdaniels,3,home
tdaniels,137,task
tdaniels,63,task
tdaniels,6,home
tdaniels,76,task
tdaniels,66,task
tdaniels,4,home
tdaniels,8,home
tdaniels,17,home
tdaniels,159,task
tdaniels,59,task
tdaniels,84,task
tdaniels,70,task
tdaniels,70,task
tdaniels,83,task
tdaniels,11,task
tdaniels,67,task
tdaniels,83,task
tdaniels,5,home
tdaniels,108,task
tdaniels,76,task
tdaniels,88,task
tdaniels,60,task
tdaniels,5,home
tdaniels,4,home
tdaniels,4,home
tdaniels,83,task
tdaniels,7,home
tdaniels,6,home
tdaniels,96,task
tdaniels,81,task
tdaniels,89,task
tdaniels,99,task
tdaniels,105,task
tdaniels,5,home
tdaniels,107,task
tdaniels,97,task
tdaniels,11,task
tdaniels,74,task
tdaniels,85,task
tdaniels,6,home
tdaniels,84,task
tdaniels,17,home
tdaniels,103,task
tdaniels,3,home
tdaniels,72,task
tdaniels,125,task
tdaniels,103,task
tdaniels,149,task
tdaniels,123,task
tdaniels,3,home
tdaniels,14,home
tdaniels,12,home
tdaniels,11,home
tdaniels,18,home
tdaniels,18,home
tdaniels,17,home
tdaniels,17,home
tdaniels,11,task
tdaniels,90,task
tdaniels,132,task
tdaniels,62,home
tdaniels,21,task
tdaniels,11,task
tdaniels,106,task
tdaniels,128,task
tdaniels,119,task
tdaniels,46,home
tdaniels,45,home
tdaniels,96,task
tdaniels,78,task
tdaniels,29,home
tdaniels,29,home
tdaniels,128,task
tdaniels,8,home
tdaniels,13,home
tdaniels,12,home
tdaniels,12,home
tdaniels,8,home
tdaniels,110,task
tdaniels,103,task
tdaniels,101,task
tdaniels,14,home
tdaniels,66,task
tdaniels,18,task
tdaniels,11,task
tdaniels,104,task
tdaniels,8,home
tdaniels,69,task
tdaniels,85,task
tdaniels,82,task
tdaniels,75,task
tdaniels,89,task
tdaniels,11,task
tdaniels,11,task
tdaniels,108,task
tdaniels,17,home
tdaniels,27,home
tdaniels,27,home
tdaniels,194,task
tdaniels,146,task
tdaniels,146,task
tdaniels,137,task
tdaniels,150,task
tdaniels,119,task
tdaniels,3,home
tdaniels,3,home
tdaniels,3,home
tdaniels,3,home
tdaniels,115,task
tdaniels,127,task
tdaniels,131,task
tdaniels,3,home
tdaniels,12,task
tdaniels,8,home
tdaniels,241,task
tdaniels,35,home
tdaniels,102,task
tdaniels,3,home
tdaniels,148,task
tdaniels,24,home
tdaniels,131,task
tdaniels,117,task
tdaniels,3,home
tdaniels,3,home
tdaniels,112,task
tdaniels,189,task
tdaniels,93,task
tdaniels,97,task
tdaniels,126,task
tdaniels,104,task
tdaniels,14,home
tdaniels,14,home
tdaniels,13,task
tdaniels,133,task
tdaniels,131,task
tdaniels,185,task
tdaniels,90,task
tdaniels,147,task
tdaniels,3,home
tdaniels,11,task
tdaniels,12,task
tdaniels,39,home
tdaniels,39,home
tdaniels,4,home
tdaniels,5,home
tdaniels,5,home
tdaniels,3,home
tdaniels,128,task
tdaniels,4,home
tdaniels,94,task
tdaniels,189,task
tdaniels,77,task
tdaniels,111,task
tdaniels,143,task
tdaniels,94,task
tdaniels,28,home
tdaniels,45,home
tdaniels,7,task
tdaniels,97,task
tdaniels,5,task
tdaniels,85,task
grao,60,task
grao,46,task
grao,65,task
grao,69,task
grao,69,task
grao,76,task
grao,136,task
grao,133,task
grao,123,task
grao,102,task
grao,87,task
grao,72,task
grao,83,task
grao,123,task
grao,102,task
grao,101,task
grao,103,task
grao,91,task
grao,95,task
grao,107,task
grao,92,task
grao,105,task
grao,115,task
grao,106,task
grao,99,task
grao,85,task
grao,62,task
grao,101,task
grao,83,task
grao,78,task
grao,126,task
grao,118,task
grao,56,task
grao,57,task
grao,98,task
grao,100,task
grao,89,task
grao,87,task
grao,76,task
grao,75,task
grao,83,task
grao,81,task
grao,72,task
grao,108,task
grao,83,task
grao,73,task
grao,81,task
grao,232,task
grao,226,task
grao,71,task
grao,78,task
grao,65,task
grao,80,task
grao,11,home
grao,64,task
grao,65,task
grao,96,task
grao,79,task
grao,104,task
grao,104,task
grao,131,task
grao,99,task
grao,107,task
grao,102,task
grao,65,task
grao,136,task
grao,124,task
grao,98,task
grao,89,task
grao,69,task
grao,80,task
grao,74,task
grao,83,task
grao,71,task
grao,79,task
dreed,41,task
dreed,27,task
dreed,22,task
dreed,44,task
dreed,28,task
dreed,22,task
dreed,33,task
dreed,62,home
dreed,42,task
dreed,34,task
dreed,13,home
dreed,65,task
dreed,40,task
dreed,42,task
dreed,38,task
nthompson,11,task
nthompson,100,task
nthompson,3,task
nthompson,6,task
nthompson,155,task
nthompson,7,task
smoussa,69,task
smoussa,19,task
ddenton,56,task
ddenton,50,task
ddenton,84,task
ddenton,23,task
ddenton,141,task
sbatte,88,task
sbatte,45,home
sbatte,70,task
ncarrazco,92,task
posully,9,home
posully,3,home
posully,3,home
posully,3,home
posully,8,home
posully,31,home
lwakefield,26,home
nvaldez,49,task
nvaldez,29,home
nvaldez,28,task
nvaldez,9,home
nvaldez,27,home
nvaldez,25,task
nvaldez,85,task
shawkins,99,task
shawkins,92,task
cebersbach,77,task
cebersbach,6,task
cebersbach,88,task
cebersbach,33,task
cebersbach,31,task
cebersbach,29,task
cebersbach,12,task
jnapacena,36,task
jnapacena,92,task
jnapacena,45,task
jnapacena,43,task
jnapacena,26,task
jnapacena,48,task
sgray,28,home
sgray,40,task
sgray,4,home
dmorant,117,task
dmorant,58,task
dmorant,34,home
dmorant,35,home
dmorant,21,home
dmorant,130,home
dmorant,127,home
dmorant,111,home
dmorant,99,home
dmorant,215,task
dmorant,150,task
dmorant,113,task
dmorant,117,task
dmorant,88,task
dmorant,79,task
dmorant,53,task
dmorant,40,task
dmorant,32,task
dmorant,133,task
dmorant,75,home
dmorant,37,home
dmorant,43,home
dmorant,23,home
dmorant,179,task
dmorant,34,task
dmorant,130,task
dmorant,102,task
dmorant,15,task
dmorant,367,task
dmorant,162,task
dmorant,185,task
dmorant,142,task
dmorant,12,task
dmorant,241,task
dmorant,207,task
dmorant,202,task
dmorant,211,task
jpark,35,task
jpark,35,task
jpark,34,task
jpark,27,task
jpark,40,task
jpark,27,task
jpark,30,task
jpark,40,task
jpark,33,task
jpark,29,task
jpark,47,task
jpark,38,task
jpark,20,home
jpark,29,task
jpark,44,task
jpark,25,task
jpark,4,task
jpark,37,task
jpark,12,home
jpark,112,task
jpark,49,task
egriffin,92,task
egriffin,19,task
egriffin,59,task
egriffin,25,task
egriffin,43,task
egriffin,3,home
egriffin,29,task
egriffin,21,task
egriffin,31,task
egriffin,15,task
egriffin,90,task
egriffin,14,task
egriffin,65,task
egriffin,15,task
egriffin,24,task
egriffin,4,home
egriffin,73,task
egriffin,35,task
egriffin,56,task
egriffin,100,task
egriffin,58,task
egriffin,30,home
egriffin,208,task
egriffin,14,task
egriffin,98,task
egriffin,97,task
egriffin,131,task
